timestamp,value
1499341920.0,46.19
1499341980.0,44.57
1499342040.0,43.62
1499342100.0,41.49
1499342160.0,39.47
1499342220.0,40.62
1499342280.0,39.84
1499342340.0,39.72
1499342400.0,39.93
1499342460.0,37.54
1499342520.0,37.21
1499342580.0,37.74
1499342640.0,38.09
1499342700.0,37.42
1499342760.0,38.28
1499342820.0,40.86
1499342880.0,38.52
1499342940.0,38.57
1499343000.0,38.35
1499343060.0,38.44
1499343120.0,39.38
1499343180.0,38.4
1499343240.0,39.37
1499343300.0,39.64
1499343360.0,39.23
1499343420.0,38.97
1499343480.0,37.45
1499343540.0,37.45
1499343600.0,38.3
1499343660.0,38.56
1499343720.0,37.72
1499343780.0,39.13
1499343840.0,38.21
1499343900.0,39.7
1499343960.0,39.18
1499344020.0,40.92
1499344080.0,40.11
1499344140.0,40.61
1499344200.0,39.39
1499344260.0,38.44
1499344320.0,40.12
1499344380.0,39.18
1499344440.0,38.2
1499344500.0,39.25
1499344560.0,36.24
1499344620.0,38.7
1499344680.0,37.34
1499344740.0,39.45
1499344800.0,37.42
1499344860.0,39.08
1499344920.0,40.04
1499344980.0,41.11
1499345040.0,38.48
1499345100.0,38.1
1499345160.0,39.35
1499345220.0,37.93
1499345280.0,37.93
1499345340.0,38.4
1499345400.0,37.15
1499345460.0,38.03
1499345520.0,39.37
1499345580.0,38.72
1499345640.0,39.27
1499345700.0,39.1
1499345760.0,39.1
1499345820.0,39.51
1499345880.0,38.19
1499345940.0,38.14
1499346000.0,38.43
1499346060.0,36.83
1499346120.0,36.77
1499346180.0,38.67
1499346240.0,36.08
1499346300.0,36.73
1499346360.0,35.99
1499346420.0,38.22
1499346480.0,37.18
1499346540.0,37.83
1499346600.0,38.56
1499346660.0,39.05
1499346720.0,37.88
1499346780.0,37.73
1499346840.0,37.28
1499346900.0,39.31
1499346960.0,38.01
1499347020.0,39.5
1499347080.0,38.54
1499347140.0,37.74
1499347200.0,37.1
1499347260.0,37.84
1499347320.0,36.13
1499347380.0,39.81
1499347440.0,39.1
1499347500.0,39.24
1499347560.0,39.47
1499347620.0,39.55
1499347680.0,39.73
1499347740.0,39.53
1499347800.0,38.41
1499347860.0,39.93
1499347920.0,42.66
1499347980.0,42.66
1499348040.0,39.65
1499348100.0,39.51
1499348160.0,40.18
1499348220.0,39.24
1499348280.0,39.32
1499348340.0,40.51
1499348400.0,39.46
1499348460.0,39.46
1499348520.0,40.43
1499348580.0,42.16
1499348640.0,40.93
1499348700.0,38.41
1499348760.0,40.21
1499348820.0,41.33
1499348880.0,41.21
1499348940.0,38.87
1499349000.0,40.81
1499349060.0,40.54
1499349120.0,40.38
