timestamp,value
1496932800.0,7.875
1496932860.0,7.0625
1496932920.0,6.8125
1496932980.0,8.0
1496933040.0,6.3125
1496933100.0,5.625
1496933160.0,9.8125
1496933220.0,7.875
1496933280.0,9.0
1496933340.0,6.875
1496933400.0,6.625
1496933460.0,5.0625
1496933520.0,5.625
1496933580.0,5.9375
1496933640.0,6.3125
1496933700.0,8.1875
1496933760.0,6.1875
1496933820.0,6.6875
1496933880.0,5.5625
1496933940.0,5.625
1496934000.0,6.875
1496934060.0,7.0
1496934120.0,6.8125
1496934180.0,8.3125
1496934240.0,5.4375
1496934300.0,6.25
1496934360.0,7.25
1496934420.0,7.8125
1496934480.0,7.5625
1496934540.0,5.125
1496934600.0,8.0625
1496934660.0,4.8125
1496934720.0,7.875
1496934780.0,7.375
1496934840.0,7.1875
1496934900.0,5.375
1496934960.0,6.25
1496935020.0,7.375
1496935080.0,6.875
1496935140.0,7.1875
1496935200.0,6.6875
1496935260.0,7.5625
1496935320.0,7.9375
1496935380.0,7.625
1496935440.0,6.6875
1496935500.0,8.75
1496935560.0,5.625
1496935620.0,4.4375
1496935680.0,7.125
1496935740.0,8.875
1496935800.0,5.9375
1496935860.0,7.8125
1496935920.0,7.1875
1496935980.0,8.1875
1496936040.0,7.0625
1496936100.0,8.75
1496936160.0,7.0625
1496936220.0,8.125
1496936280.0,7.3125
1496936340.0,4.9375
1496936400.0,7.3125
1496936460.0,7.0625
1496936520.0,5.875
1496936580.0,8.3125
1496936640.0,7.0625
1496936700.0,6.75
1496936760.0,7.4375
1496936820.0,5.8125
1496936880.0,6.8125
1496936940.0,7.5
1496937000.0,7.25
1496937060.0,6.8125
1496937120.0,9.1875
1496937180.0,8.8125
1496937240.0,7.25
1496937300.0,9.1875
1496937360.0,8.375
1496937420.0,7.0
1496937480.0,8.5
1496937540.0,8.75
1496937600.0,6.6875
1496937660.0,7.0625
1496937720.0,8.5
1496937780.0,7.875
1496937840.0,5.8125
1496937900.0,6.3125
1496937960.0,8.625
1496938020.0,6.6875
1496938080.0,5.875
1496938140.0,8.0625
1496938200.0,6.25
1496938260.0,8.4375
1496938320.0,8.4375
1496938380.0,9.125
1496938440.0,5.875
1496938500.0,5.6875
1496938560.0,7.875
1496938620.0,7.0
1496938680.0,8.375
1496938740.0,5.625
1496938800.0,6.5
1496938860.0,6.75
1496938920.0,9.3125
1496938980.0,9.4375
1496939040.0,8.3125
1496939100.0,10.5625
1496939160.0,7.6875
1496939220.0,8.625
1496939280.0,8.375
1496939340.0,8.125
1496939400.0,7.5
1496939460.0,5.8125
1496939520.0,6.75
1496939580.0,6.0
1496939640.0,8.1875
1496939700.0,10.1875
1496939760.0,5.8125
1496939820.0,6.125
1496939880.0,7.5
1496939940.0,7.375
1496940000.0,7.5
1496940060.0,6.625
1496940120.0,5.6875
1496940180.0,7.4375
1496940240.0,7.0625
1496940300.0,7.625
1496940360.0,6.0625
1496940420.0,6.4375
1496940480.0,6.3125
1496940540.0,6.6875
1496940600.0,5.8125
1496940660.0,5.3125
1496940720.0,7.75
1496940780.0,9.0625
1496940840.0,6.4375
1496940900.0,9.1875
1496940960.0,6.9375
1496941020.0,6.625
1496941080.0,6.375
1496941140.0,6.8125
1496941200.0,6.75
1496941260.0,9.4375
1496941320.0,6.9375
1496941380.0,7.0
1496941440.0,6.8125
1496941500.0,7.375
1496941560.0,6.5625
1496941620.0,6.3125
1496941680.0,7.0625
1496941740.0,8.1875
1496941800.0,8.25
1496941860.0,9.375
1496941920.0,9.25
1496941980.0,6.125
1496942040.0,7.3125
1496942100.0,6.5625
1496942160.0,8.5
1496942220.0,7.8125
1496942280.0,5.1875
1496942340.0,7.4375
1496942400.0,7.8125
1496942460.0,6.6875
1496942520.0,6.466666698459999
1496942580.0,7.454545497889999
1496942640.0,6.84615373611
1496942700.0,6.84615373611
1496942760.0,7.454545497889999
1496942820.0,7.400000095369999
1496942880.0,8.16666698456
1496942940.0,6.625
1496943000.0,8.375
1496943060.0,7.375
1496943120.0,7.733333110810001
1496943180.0,10.1875
1496943240.0,7.9375
1496943300.0,8.0625
1496943360.0,8.4375
1496943420.0,7.8125
1496943480.0,7.599999904630001
1496943540.0,6.8125
1496943600.0,8.466666221619999
1496943660.0,7.5625
1496943720.0,9.4375
1496943780.0,6.5
1496943840.0,7.9375
1496943900.0,9.5625
1496943960.0,7.625
1496944020.0,8.0625
1496944080.0,8.25
1496944140.0,7.25
1496944200.0,6.625
1496944260.0,7.1875
1496944320.0,6.375
1496944380.0,7.5625
1496944440.0,6.9375
1496944500.0,6.6875
1496944560.0,5.375
1496944620.0,6.9375
1496944680.0,9.0
1496944740.0,7.875
1496944800.0,9.1875
1496944860.0,6.8125
1496944920.0,8.125
1496944980.0,9.0
1496945040.0,7.1875
1496945100.0,8.625
1496945160.0,8.25
